add-s,12,80,1920,623415,324,0
add-yield-c,1,100,200,494286,2471,0
add-yield-m,1,100,200,421113,2105,0
add-yield-s,1,100,200,418609,2093,0
add-c,1,100,200,367212,1836,0
add-m,1,100,200,326047,1630,0
add-s,1,100,200,349573,1747,0
add-yield-c,2,100,400,459366,1148,0
add-yield-m,2,100,400,629815,1574,0
add-yield-s,2,100,400,476232,1190,0
add-c,2,100,400,353649,884,0
add-m,2,100,400,323383,808,0
add-s,2,100,400,352848,882,0
add-yield-c,4,100,800,697840,872,0
add-yield-m,4,100,800,1118372,1397,0
add-yield-s,4,100,800,883032,1103,0
add-c,4,100,800,386777,483,0
add-m,4,100,800,363361,454,0
add-s,4,100,800,348948,436,0
add-yield-c,8,100,1600,1380957,863,0
add-yield-m,8,100,1600,2130406,1331,0
add-yield-s,8,100,1600,2182835,1364,0
add-c,8,100,1600,495651,309,0
add-m,8,100,1600,1224192,765,0
add-s,8,100,1600,1193079,745,0
add-yield-c,12,100,2400,1774503,739,0
add-yield-m,12,100,2400,2792640,1163,0
add-yield-s,12,100,2400,3661917,1525,0
add-c,12,100,2400,1358945,566,0
add-m,12,100,2400,1097116,457,0
add-s,12,100,2400,1389135,578,0
add-yield-c,1,1000,2000,1529208,764,0
add-yield-m,1,1000,2000,1575797,787,0
add-yield-s,1,1000,2000,1522787,761,0
add-c,1,1000,2000,406450,203,0
add-m,1,1000,2000,376164,188,0
add-s,1,1000,2000,347815,173,0
add-yield-c,2,1000,4000,2851451,712,0
add-yield-m,2,1000,4000,3472942,868,0
add-yield-s,2,1000,4000,2776400,694,0
add-c,2,1000,4000,409061,102,0
add-m,2,1000,4000,620028,155,0
add-s,2,1000,4000,406662,101,0
add-yield-c,4,1000,8000,6327455,790,0
add-yield-m,4,1000,8000,9235514,1154,0
add-yield-s,4,1000,8000,7704504,963,0
add-c,4,1000,8000,624504,78,0
add-m,4,1000,8000,751295,93,0
add-s,4,1000,8000,854754,106,0
add-yield-c,8,1000,16000,12115469,757,0
add-yield-m,8,1000,16000,16839577,1052,0
add-yield-s,8,1000,16000,19100383,1193,0
add-c,8,1000,16000,1172479,73,0
add-m,8,1000,16000,2015318,125,0
add-s,8,1000,16000,3171558,198,0
add-yield-c,12,1000,24000,15064588,627,0
add-yield-m,12,1000,24000,25112630,1046,0
add-yield-s,12,1000,24000,34470656,1436,0
add-c,12,1000,24000,1748445,72,0
add-m,12,1000,24000,3123373,130,0
add-s,12,1000,24000,6828026,284,0
add-yield-c,1,10000,20000,12472863,623,0
add-yield-m,1,10000,20000,12397340,619,0
add-yield-s,1,10000,20000,12662135,633,0
add-c,1,10000,20000,671647,33,0
add-m,1,10000,20000,730069,36,0
add-s,1,10000,20000,497995,24,0
add-yield-c,2,10000,40000,29088377,727,0
add-yield-m,2,10000,40000,39349139,983,0
add-yield-s,2,10000,40000,27652742,691,0
add-c,2,10000,40000,1929794,48,0
add-m,2,10000,40000,2625952,65,0
add-s,2,10000,40000,1869257,46,0
add-yield-c,4,10000,80000,59144933,739,0
add-yield-m,4,10000,80000,93056842,1163,0
add-yield-s,4,10000,80000,85222216,1065,0
add-c,4,10000,80000,4490308,56,0
add-m,4,10000,80000,8344092,104,0
add-s,4,10000,80000,8245390,103,0
add-yield-c,8,10000,160000,112126162,700,0
add-yield-m,8,10000,160000,174266436,1089,0
add-yield-s,8,10000,160000,199284763,1245,0
add-c,8,10000,160000,11453035,71,0
add-m,8,10000,160000,19588128,122,0
add-s,8,10000,160000,31173948,194,0
add-yield-c,12,10000,240000,152008830,633,0
add-yield-m,12,10000,240000,251993116,1049,0
add-yield-s,12,10000,240000,387962088,1616,0
add-c,12,10000,240000,16919919,70,0
add-m,12,10000,240000,29135377,121,0
add-s,12,10000,240000,64831607,270,0
add-yield-c,1,100000,200000,125349352,626,0
add-yield-m,1,100000,200000,118560890,592,0
add-yield-s,1,100000,200000,116874116,584,0
add-c,1,100000,200000,3936583,19,0
add-m,1,100000,200000,3781714,18,0
add-s,1,100000,200000,2151779,10,0
add-yield-c,2,100000,400000,277325401,693,0
add-yield-m,2,100000,400000,370382140,925,0
add-yield-s,2,100000,400000,277169762,692,0
add-c,2,100000,400000,15473229,38,0
add-m,2,100000,400000,21844511,54,0
add-s,2,100000,400000,19334549,48,0
add-yield-c,4,100000,800000,567873964,709,0
add-yield-m,4,100000,800000,904225637,1130,0
add-yield-s,4,100000,800000,715479888,894,0
add-c,4,100000,800000,47841069,59,0
add-m,4,100000,800000,86788140,108,0
add-s,4,100000,800000,98760672,123,0
add-yield-c,8,100000,1600000,1136021031,710,0
add-yield-m,8,100000,1600000,1612180901,1007,0
add-yield-s,8,100000,1600000,2012098217,1257,0
add-c,8,100000,1600000,100124207,62,0
add-m,8,100000,1600000,180133666,112,0
add-s,8,100000,1600000,312844002,195,0
add-yield-c,12,100000,2400000,1448226473,603,0
add-yield-m,12,100000,2400000,2558660101,1066,0
add-yield-s,12,100000,2400000,3488244023,1453,0
add-c,12,100000,2400000,148464922,61,0
add-m,12,100000,2400000,263899589,109,0
add-s,12,100000,2400000,701706595,292,0
add-yield-s,1,10,20,343653,17182,0
add-s,1,10,20,318331,15916,0
add-yield-s,2,10,40,333274,8331,0
add-s,2,10,40,293537,7338,0
add-yield-s,4,10,80,376580,4707,0
add-s,4,10,80,326506,4081,0
add-yield-s,8,10,160,476815,2980,0
add-s,8,10,160,474157,2963,0
add-yield-s,12,10,240,1163188,4846,0
add-s,12,10,240,1270509,5293,0
add-yield-s,1,20,40,281607,7040,0
add-s,1,20,40,298547,7463,0
add-yield-s,2,20,80,340998,4262,0
add-s,2,20,80,323654,4045,0
add-yield-s,4,20,160,395999,2474,0
add-s,4,20,160,397132,2482,0
add-yield-s,8,20,320,519748,1624,0
add-s,8,20,320,420932,1315,0
add-yield-s,12,20,480,1093207,2277,0
add-s,12,20,480,1336528,2784,0
add-yield-s,1,40,80,343705,4296,0
add-s,1,40,80,1015071,12688,0
add-yield-s,2,40,160,411208,2570,0
add-s,2,40,160,349339,2183,0
add-yield-s,4,40,320,526920,1646,0
add-s,4,40,320,379563,1186,0
add-yield-s,8,40,640,863688,1349,0
add-s,8,40,640,1218581,1904,0
add-yield-s,12,40,960,1457401,1518,0
add-s,12,40,960,1387541,1445,0
add-yield-s,1,80,160,424728,2654,0
add-s,1,80,160,304589,1903,0
add-yield-s,2,80,320,415027,1296,0
